,Datetime,Temperature,Flow
105,2019-08-02 02:30:00,14.2,3.163017853
106,2019-08-02 02:45:00,14.2,3.1380751960000004
107,2019-08-02 03:00:00,14.1,3.1380751960000004
108,2019-08-02 03:15:00,14.1,3.1380751960000004
109,2019-08-02 03:30:00,14.1,3.113292632
110,2019-08-02 03:45:00,14.1,3.113292632
111,2019-08-02 04:00:00,14.1,3.113292632
112,2019-08-02 04:15:00,14.1,3.113292632
113,2019-08-02 04:30:00,14.1,3.113292632
114,2019-08-02 04:45:00,14.1,3.113292632
115,2019-08-02 05:00:00,14.1,3.113292632
116,2019-08-02 05:15:00,14.0,3.113292632
117,2019-08-02 05:30:00,14.0,3.0886693710000004
118,2019-08-02 05:45:00,14.0,3.0886693710000004
119,2019-08-02 06:00:00,14.0,3.113292632
120,2019-08-02 06:15:00,14.0,3.0886693710000004
121,2019-08-02 06:30:00,14.0,3.0886693710000004
122,2019-08-02 06:45:00,14.0,3.0886693710000004
123,2019-08-02 07:00:00,14.0,3.064204621
124,2019-08-02 07:15:00,14.0,3.064204621
125,2019-08-02 07:30:00,14.0,3.064204621
126,2019-08-02 07:45:00,14.0,3.064204621
127,2019-08-02 08:00:00,14.0,3.064204621
128,2019-08-02 08:15:00,14.0,3.0398975989999997
129,2019-08-02 08:30:00,14.0,3.064204621
130,2019-08-02 08:45:00,14.0,3.064204621
131,2019-08-02 09:00:00,14.0,3.064204621
132,2019-08-02 09:15:00,14.0,3.0398975989999997
133,2019-08-02 09:30:00,14.1,3.0398975989999997
134,2019-08-02 09:45:00,14.1,3.0398975989999997
135,2019-08-02 10:00:00,14.1,3.0398975989999997
136,2019-08-02 10:15:00,14.1,3.0886693710000004
137,2019-08-02 10:30:00,14.2,3.113292632
138,2019-08-02 10:45:00,14.2,3.163017853
139,2019-08-02 11:00:00,14.2,3.188121399
140,2019-08-02 11:15:00,14.2,3.188121399
141,2019-08-02 11:30:00,14.3,3.188121399
142,2019-08-02 11:45:00,14.3,3.188121399
143,2019-08-02 12:00:00,14.3,3.188121399
144,2019-08-02 12:15:00,14.4,3.188121399
145,2019-08-02 12:30:00,14.4,3.188121399
146,2019-08-02 12:45:00,14.5,3.188121399
147,2019-08-02 13:00:00,14.5,3.188121399
