,Location,UTM,geometry,dist,color,size,x_offset
0,Fish Fence,"[49.307498, -123.021117]",POINT (498464.9799564918 5461640.004163429),1534.564308303839,black,20,20
1,Pool 91,"[49.329884, -123.008266]",POINT (499399.4068262744 5464128.505983721),4843.994144359375,black,20,20
2,Twin Bridges,"[49.341981, -123.001912]",POINT (499861.111449811 5465473.319600781),5273.333595684989,black,20,20
3,Spur 4,"[49.390437, -122.990081]",POINT (500719.8129449904 5470860.332062319),6856.253920166275,black,20,20
4,Rockslide,"[49.338106, -123.002476]",POINT (499820.1281109541 5465042.529932787),5229.615037047232,brown,26,20
5,Twin Falls,"[49.341142, -123.016033]",POINT (498835.3357852767 5465380.168265801),5542.350427459201,brown,26,-90
